number,R²,log2_embed_size,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,final_activation,log2_num_heads,pooling,dropout,lr,epochs,scheduler,schel_gamma,log2_layer_2,activation_3,schel_t_max_mod,shchel_eta_min,schel_step_size,log2_layer_3,activation_4
0,0.18484590450922647,6.0,2,3,gelu,5.0,relu,elu,3.0,linear,0.09445254138813323,0.00034404540956905984,9.0,exponential,0.8977534655497272,,,,,,,
1,0.2786693572998047,5.0,3,9,elu,2.0,leaky_relu,leaky_relu,1.0,max,0.025443872436664242,4.409661880016527e-05,8.0,cosine,,7.0,sigmoid,4.0,0.0,,,
2,-3.9849091370900473,7.0,1,5,gelu,,,identity,2.0,mean,0.006027480442434435,2.1025492841724336e-05,8.0,exponential,0.8580011110701231,,,,,,,
3,-0.06686266263326009,4.0,3,10,tanh,7.0,leaky_relu,tanh,1.0,mean,0.11597741548569454,1.928476848097066e-05,7.0,cosine,,3.0,elu,2.0,1e-06,,,
4,-9.327124834060669,6.0,1,9,leaky_relu,,,elu,1.0,max,0.0039570217200223575,9.270024663625926e-05,9.0,cosine,,,,3.0,1e-05,,,
5,-3.10698672135671,3.0,1,5,leaky_relu,,,relu,0.0,max,0.11089555241021186,0.0004610720798575233,6.0,step,0.17803382245938615,,,,,20.0,,
6,-4.5202705065409345,5.0,1,8,leaky_relu,,,leaky_relu,1.0,linear,0.024490634567907503,0.0001244901913265923,9.0,cosine,,,,5.0,0.0,,,
7,-2.373664657274882,7.0,2,7,sigmoid,3.0,identity,leaky_relu,2.0,linear,0.031749257400368915,1.7318483613260223e-05,7.0,exponential,0.9371127703911479,,,,,,,
8,0.15721621116002402,7.0,2,7,leaky_relu,8.0,tanh,tanh,2.0,linear,0.004094794913791816,0.0015050521419547416,8.0,none,,,,,,,,
9,0.2855936487515767,7.0,1,7,relu,,,sigmoid,1.0,max,0.008504578766903493,0.00013996375389095734,9.0,step,0.2780104940555177,,,,,10.0,,
10,0.28755784034729004,2.0,2,2,relu,10.0,sigmoid,sigmoid,0.0,max,0.06291491093003664,0.004489710037446777,10.0,step,0.26326282380079646,,,,,5.0,,
11,0.2411352793375651,2.0,2,2,relu,10.0,sigmoid,sigmoid,0.0,max,0.06436483240630148,0.008616027577419515,10.0,step,0.25420056078388265,,,,,5.0,,
12,-0.007044831911722819,2.0,3,4,relu,10.0,sigmoid,sigmoid,0.0,max,0.06493512899178035,0.008316694273382599,10.0,step,0.42794612777590146,10.0,gelu,,,5.0,,
13,-1.1296662886937459,3.0,1,6,identity,,,gelu,0.0,max,0.14978840648062944,0.0019301303329824259,10.0,step,0.386757585646491,,,,,10.0,,
14,0.3432283600171407,4.0,2,2,relu,5.0,gelu,sigmoid,0.0,max,0.05437872142904773,0.0009581147291143899,9.0,step,0.602678982788057,,,,,30.0,,
15,0.32938798268636066,3.0,2,2,relu,5.0,gelu,sigmoid,0.0,max,0.04784732753953164,0.0020631369190381834,10.0,none,,,,,,,,
16,0.31241077184677124,4.0,2,3,relu,5.0,gelu,sigmoid,3.0,mean,0.04430869430834722,0.0013029199900487175,9.0,none,,,,,,,,
17,-0.3929496208826701,3.0,3,3,identity,4.0,gelu,identity,0.0,max,0.044854503716744126,0.0008626545526100752,10.0,none,,2.0,relu,,,,,
18,0.18382441997528076,4.0,2,2,elu,6.0,elu,relu,0.0,max,0.08855911754755803,0.0037029391841342033,9.0,none,,,,,,,,
19,0.31461097796758014,3.0,2,4,sigmoid,4.0,gelu,gelu,1.0,mean,0.048876539044897194,0.0005014342185477416,7.0,none,,,,,,,,
20,0.367867370446523,5.0,3,4,tanh,7.0,gelu,sigmoid,0.0,max,0.08439215380495596,0.0031267355894428425,8.0,none,,6.0,leaky_relu,,,,,
21,0.38076605399449664,5.0,3,4,tanh,7.0,gelu,sigmoid,0.0,max,0.0824210028438217,0.0031120823838091407,8.0,none,,6.0,leaky_relu,,,,,
22,0.3658939003944397,5.0,3,4,tanh,8.0,gelu,sigmoid,0.0,max,0.0815134086837898,0.004217007677217724,8.0,none,,6.0,leaky_relu,,,,,
23,0.324928085009257,5.0,3,5,tanh,8.0,gelu,sigmoid,0.0,max,0.08429598697308237,0.0038548983613143485,8.0,none,,6.0,leaky_relu,,,,,
24,0.3651261329650879,6.0,3,4,tanh,8.0,gelu,sigmoid,1.0,max,0.1033238448071396,0.005024109547167655,7.0,none,,6.0,leaky_relu,,,,,
25,0.35824718077977497,5.0,3,6,tanh,7.0,identity,sigmoid,0.0,max,0.0750756967742203,0.0027522699058744747,8.0,none,,5.0,leaky_relu,,,,,
26,0.28810979922612506,6.0,3,4,tanh,7.0,relu,sigmoid,1.0,max,0.130468269001477,0.0062020874624417344,6.0,none,,8.0,tanh,,,,,
27,0.31188400586446124,5.0,3,6,tanh,9.0,elu,elu,0.0,max,0.10004157764824449,0.000702448778119172,8.0,none,,4.0,leaky_relu,,,,,
28,0.26948801676432294,6.0,3,5,tanh,6.0,tanh,relu,2.0,linear,0.07899266285230483,0.0027219651497943117,7.0,none,,8.0,identity,,,,,
29,0.13280228773752847,6.0,3,3,gelu,9.0,gelu,identity,3.0,mean,0.09244035267182327,0.00032480272593537096,8.0,exponential,0.9830006247617453,5.0,leaky_relu,,,,,
30,0.3491781949996948,5.0,3,4,tanh,7.0,gelu,gelu,0.0,linear,0.11951915266007546,0.0002061588479807516,7.0,none,,7.0,leaky_relu,,,,,
31,0.32048773765563965,6.0,3,4,tanh,8.0,gelu,sigmoid,1.0,max,0.09998370954831873,0.004595081251277775,7.0,none,,6.0,leaky_relu,,,,,
32,0.09987950325012207,6.0,3,3,tanh,8.0,gelu,sigmoid,1.0,max,0.10584822681660988,0.009417482388128404,6.0,none,,5.0,leaky_relu,,,,,
33,0.31959015130996704,5.0,3,5,tanh,9.0,gelu,sigmoid,1.0,max,0.12799490889009285,0.006074452271956497,8.0,none,,6.0,leaky_relu,,,,,
34,0.32046449184417725,4.0,3,4,elu,7.0,gelu,tanh,0.0,max,0.08288754963082948,0.0024600984120380464,8.0,exponential,0.9865811460313935,7.0,leaky_relu,,,,,
35,0.36397190888722736,5.0,3,3,tanh,8.0,gelu,elu,2.0,max,0.07034679241788752,0.0014259565767662033,7.0,cosine,,6.0,tanh,0.0,0.001,,,
36,0.2150674263636271,6.0,3,5,tanh,6.0,elu,sigmoid,1.0,mean,0.09551599615898508,0.0063870683177494145,8.0,none,,4.0,identity,,,,,
37,0.30356236298878986,5.0,3,4,gelu,9.0,relu,leaky_relu,0.0,max,0.10951193435211262,2.861304505817054e-05,7.0,none,,8.0,sigmoid,,,,,
38,0.35865843296051025,4.0,3,6,tanh,6.0,leaky_relu,identity,0.0,max,0.11984824455359062,0.0035333622539161394,6.0,cosine,,5.0,gelu,0.0,0.0001,,,
39,-0.03860936562220255,6.0,3,5,sigmoid,7.0,tanh,tanh,1.0,linear,0.08886609144798183,5.6671284211326775e-05,8.0,exponential,0.8778339122459007,7.0,elu,,,,,
40,-0.0056158701578776045,6.0,3,9,tanh,8.0,identity,sigmoid,2.0,max,0.07626366305383145,0.001183165199080096,9.0,none,,4.0,relu,,,,,
41,0.3843518892923991,5.0,3,3,tanh,8.0,gelu,elu,2.0,max,0.06609812571197418,0.0014982410123781592,7.0,cosine,,6.0,tanh,0.0,0.001,,,
42,0.37812185287475586,5.0,3,3,tanh,8.0,gelu,elu,2.0,max,0.07086605873351084,0.0018352785325460848,7.0,cosine,,6.0,tanh,1.0,0.001,,,
43,0.3408011595408122,5.0,3,3,tanh,7.0,leaky_relu,elu,2.0,max,0.057453699413852186,0.0020493689033827013,7.0,cosine,,6.0,tanh,1.0,0.001,,,
44,0.34145694971084595,5.0,3,3,leaky_relu,9.0,gelu,elu,3.0,max,0.06758266047360788,0.00066222508765652,8.0,cosine,,7.0,tanh,1.0,0.001,,,
45,0.2643476724624634,4.0,3,2,identity,7.0,gelu,elu,2.0,max,0.05825259321458492,0.0017440948952703002,8.0,cosine,,5.0,tanh,1.0,0.001,,,
46,0.3349907199541728,5.0,3,3,tanh,8.0,relu,elu,2.0,max,0.07124254083766574,0.0030382202933460496,7.0,cosine,,7.0,tanh,0.0,0.001,,,
47,0.3284483750661214,5.0,3,10,elu,9.0,sigmoid,elu,2.0,mean,0.03158678853948105,0.0010152712135149005,6.0,cosine,,7.0,sigmoid,2.0,0.0001,,,
48,0.414658784866333,4.0,3,4,gelu,7.0,gelu,leaky_relu,3.0,max,0.08412999951563133,0.00045329258766907215,7.0,cosine,,5.0,tanh,1.0,1e-06,,,
49,-1.7036504745483398,4.0,1,2,gelu,,,leaky_relu,3.0,linear,0.09487411066116641,1.0072602520108877e-05,7.0,cosine,,,,1.0,1e-06,,,
50,-0.8507744471232096,4.0,2,4,gelu,2.0,gelu,leaky_relu,3.0,max,0.061718306092471684,0.00019786858730022665,6.0,cosine,,,,0.0,1e-06,,,
51,0.38048362731933594,5.0,3,4,gelu,6.0,gelu,leaky_relu,3.0,max,0.08331378529419162,0.0005423825874830205,7.0,cosine,,5.0,tanh,2.0,1e-05,,,
52,0.4132753411928813,4.0,3,3,gelu,6.0,gelu,leaky_relu,3.0,max,0.08754535685584522,0.00036900718119273467,7.0,cosine,,5.0,tanh,2.0,1e-05,,,
53,0.43253950277964276,4.0,3,3,gelu,6.0,gelu,leaky_relu,3.0,max,0.07288744825712944,0.0004092722119747923,7.0,cosine,,4.0,tanh,2.0,1e-05,,,
54,0.4311036467552185,4.0,3,2,gelu,5.0,gelu,leaky_relu,3.0,max,0.08825648525698807,0.00042851323830291505,7.0,cosine,,3.0,tanh,2.0,1e-05,,,
55,0.36274762948354083,4.0,3,2,gelu,5.0,sigmoid,leaky_relu,3.0,max,0.08853898953556374,0.00020385113493902673,7.0,cosine,,3.0,tanh,3.0,1e-05,,,
56,-0.22685515880584717,3.0,2,2,gelu,4.0,identity,leaky_relu,3.0,max,0.05159135879209256,0.00026119732832948834,7.0,cosine,,,,2.0,1e-05,,,
57,0.016196946303049724,4.0,3,8,gelu,5.0,gelu,leaky_relu,3.0,max,0.07690324653445363,0.00010260789683483059,6.0,cosine,,3.0,tanh,3.0,1e-05,,,
58,0.4326700766881307,3.0,3,3,gelu,5.0,leaky_relu,leaky_relu,3.0,max,0.09100949238379477,0.00036886455205037996,7.0,cosine,,2.0,tanh,2.0,1e-05,,,
59,0.01925981044769287,3.0,3,3,gelu,4.0,leaky_relu,leaky_relu,3.0,mean,0.09203058468249894,0.00035119958651939084,7.0,cosine,,2.0,tanh,2.0,1e-05,,,
60,-18.253872573375702,2.0,2,2,gelu,5.0,leaky_relu,leaky_relu,3.0,max,0.0980420865709738,0.00041964357667630744,6.0,cosine,,,,2.0,1e-05,,,
61,0.43526625633239746,4.0,3,3,gelu,6.0,leaky_relu,leaky_relu,3.0,max,0.08771487537771036,0.00041952592332669653,7.0,cosine,,3.0,tanh,2.0,1e-05,,,
62,0.4255645275115967,3.0,3,3,gelu,6.0,leaky_relu,leaky_relu,3.0,max,0.08954099070814822,0.0001608709847260673,7.0,cosine,,3.0,tanh,2.0,1e-05,,,
63,0.3379093011220296,3.0,3,2,gelu,6.0,leaky_relu,leaky_relu,3.0,max,0.08863048244677951,0.00016256776944208027,7.0,cosine,,3.0,tanh,2.0,1e-05,,,
64,0.37823381026585895,3.0,3,3,gelu,5.0,leaky_relu,leaky_relu,3.0,max,0.10506005872681912,0.00025715887259025863,7.0,cosine,,2.0,tanh,2.0,1e-05,,,
65,0.41322702169418335,4.0,3,3,gelu,6.0,leaky_relu,leaky_relu,3.0,max,0.07868806455125688,0.0004354231012005132,7.0,cosine,,4.0,tanh,2.0,1e-05,,,
66,0.301700492699941,2.0,3,2,gelu,6.0,leaky_relu,leaky_relu,3.0,max,0.09082860409229523,0.0005720728638027946,7.0,cosine,,2.0,elu,3.0,1e-05,,,
67,-0.1128269632657369,3.0,3,3,gelu,5.0,leaky_relu,leaky_relu,3.0,max,0.11146623976937686,0.0008045857359605632,7.0,step,0.6913181025780645,3.0,gelu,,,30.0,,
68,-0.8934635321299235,4.0,1,2,gelu,,,leaky_relu,3.0,linear,0.08550249936453284,7.183472033395506e-05,7.0,cosine,,,,1.0,1e-05,,,
69,-1.3178519407908122,3.0,3,2,gelu,3.0,leaky_relu,leaky_relu,3.0,max,0.01622996879516691,0.0003755637902248245,6.0,cosine,,3.0,relu,3.0,1e-05,,,
70,0.3773072560628255,4.0,3,3,gelu,5.0,tanh,relu,3.0,max,0.09837130699627969,0.00026849430297446863,7.0,cosine,,4.0,tanh,2.0,0.0,,,
71,0.43487344185511273,4.0,3,3,gelu,6.0,leaky_relu,leaky_relu,3.0,max,0.07904452164063794,0.0004890128335928104,7.0,cosine,,4.0,tanh,2.0,1e-05,,,
72,0.4436026414235433,4.0,3,3,gelu,6.0,leaky_relu,leaky_relu,3.0,max,0.07458713033620601,0.00014014201944821767,7.0,cosine,,3.0,tanh,2.0,1e-06,,,
73,0.31325920422871906,4.0,3,3,gelu,6.0,leaky_relu,leaky_relu,3.0,max,0.07490881791200307,0.0001098067273254414,7.0,cosine,,3.0,tanh,2.0,1e-06,,,
74,0.28192879756291706,4.0,3,4,sigmoid,6.0,leaky_relu,leaky_relu,3.0,max,0.0719428643792917,0.0001562256914591042,7.0,cosine,,2.0,tanh,2.0,1e-06,,,
75,0.21809901793797812,3.0,3,2,leaky_relu,5.0,leaky_relu,gelu,3.0,max,0.08026903000422736,0.00028019988756138785,7.0,exponential,0.9482395596918897,4.0,tanh,,,,,
76,-0.14921782414118448,4.0,3,3,gelu,6.0,leaky_relu,leaky_relu,3.0,max,0.10311756276340062,0.00047798790532862205,7.0,step,0.7295683754886559,2.0,identity,,,20.0,,
77,0.34317336479822796,3.0,3,3,identity,5.0,elu,leaky_relu,3.0,mean,0.06142049329178536,0.0006519799776335838,7.0,cosine,,3.0,tanh,3.0,1e-06,,,
78,-0.5689190228780111,4.0,3,4,gelu,4.0,leaky_relu,leaky_relu,3.0,max,0.09533951536652688,0.00022759055043587194,6.0,cosine,,3.0,tanh,2.0,1e-06,,,
79,0.334918737411499,4.0,3,2,gelu,6.0,leaky_relu,tanh,3.0,max,0.08072640802994968,8.367792662301772e-05,7.0,cosine,,4.0,tanh,1.0,1e-05,,,
80,0.3269015351931254,3.0,3,7,relu,7.0,leaky_relu,identity,3.0,linear,0.07436086016591503,0.00014922670367354418,7.0,cosine,,3.0,sigmoid,5.0,0.0,,,
81,0.4359592795372009,4.0,3,3,gelu,6.0,relu,leaky_relu,3.0,max,0.08580056981240021,0.0003186186468046747,7.0,cosine,,4.0,tanh,2.0,1e-05,,,
82,0.4411790370941162,4.0,3,3,gelu,6.0,relu,leaky_relu,3.0,max,0.08493004238219627,0.0001259968620334286,7.0,cosine,,4.0,tanh,2.0,1e-05,,,
83,0.4414134422938029,4.0,3,3,gelu,6.0,relu,leaky_relu,3.0,max,0.09248327156578326,0.00012440820551642913,7.0,cosine,,4.0,tanh,2.0,1e-05,,,
84,-2.0626104275385537,4.0,3,3,gelu,6.0,relu,leaky_relu,3.0,max,0.06836789502703397,3.598909858662451e-05,7.0,cosine,,4.0,gelu,2.0,1e-05,,,
85,0.050308803717295326,4.0,3,3,gelu,5.0,relu,relu,3.0,max,0.08570081594133051,0.00012767723040557537,7.0,cosine,,4.0,elu,2.0,1e-05,,,
86,-2.2372883955637612,4.0,3,3,elu,6.0,relu,leaky_relu,3.0,max,0.10049047373312006,7.705294409119554e-05,7.0,exponential,0.9246450185433568,4.0,tanh,,,,,
87,-0.5233998894691467,4.0,3,2,gelu,6.0,relu,leaky_relu,3.0,max,0.09324437428038404,0.0003029434549021539,7.0,cosine,,4.0,relu,3.0,0.0001,,,
88,0.41423189640045166,4.0,3,3,sigmoid,4.0,relu,gelu,3.0,max,0.10870030637954749,6.270746728154539e-05,7.0,cosine,,10.0,tanh,2.0,1e-05,,,
89,-0.43228723605473834,4.0,3,4,gelu,7.0,relu,leaky_relu,3.0,max,0.07718208235913276,0.0001867619569980141,6.0,step,0.5549906473419437,2.0,identity,,,25.0,,
90,0.40854591131210327,4.0,3,3,leaky_relu,5.0,relu,leaky_relu,3.0,max,0.14736912830115603,0.0008286774726544062,8.0,cosine,,4.0,tanh,2.0,1e-05,,,
91,0.4044185479482015,3.0,3,3,gelu,6.0,relu,leaky_relu,3.0,max,0.09027629078209143,0.0001247076046031932,7.0,cosine,,3.0,tanh,2.0,1e-05,,,
92,0.4373892943064372,4.0,3,3,gelu,6.0,relu,leaky_relu,3.0,max,0.08209206621107557,0.00022775876929080635,7.0,cosine,,3.0,tanh,2.0,1e-05,,,
93,0.3885022799173991,4.0,3,3,gelu,6.0,relu,leaky_relu,3.0,max,0.08139615675538567,0.0003147475774995637,7.0,cosine,,2.0,tanh,2.0,1e-05,,,
94,0.4241320689519246,4.0,3,4,gelu,6.0,relu,leaky_relu,3.0,max,0.07167721790267194,0.00018062465017222525,7.0,cosine,,3.0,tanh,2.0,1e-05,,,
95,0.3602483868598938,4.0,3,2,identity,5.0,relu,leaky_relu,3.0,max,0.08587827473164715,0.0005515726388932585,7.0,cosine,,4.0,tanh,2.0,1e-05,,,
96,0.28109099467595416,4.0,3,3,gelu,7.0,identity,tanh,3.0,mean,0.06504086396013636,0.00022585756476997963,7.0,cosine,,3.0,tanh,1.0,1e-05,,,
97,0.38424187898635864,4.0,3,4,gelu,5.0,tanh,identity,3.0,max,0.09523505962445411,0.0004061295692023741,7.0,cosine,,5.0,tanh,2.0,0.0001,,,
98,0.40794241428375244,4.0,3,8,relu,7.0,sigmoid,leaky_relu,3.0,max,0.07415996894622753,0.00010767280195149614,7.0,cosine,,4.0,tanh,3.0,1e-05,,,
99,0.41067641973495483,4.0,3,2,gelu,6.0,relu,leaky_relu,3.0,max,0.0813957175891871,0.00033166243656252754,7.0,cosine,,3.0,sigmoid,2.0,1e-05,,,
