number,R²,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,log2_layer_2,activation_3,final_activation,dropout,lr,epochs,scheduler,schel_gamma,schel_t_max_mod,shchel_eta_min,log2_layer_3,activation_4,log2_layer_4,activation_5,schel_step_size
0,-0.0724257230758667,3,2,elu,9.0,identity,6.0,relu,relu,0.13793855628033524,7.491254709349532e-05,8,exponential,0.8384868615417227,,,,,,,
1,0.4126654068628947,2,6,relu,6.0,leaky_relu,,,sigmoid,0.1343936211379321,0.0001304076133565227,10,cosine,,1.0,1e-06,,,,,
2,0.3487956126530965,5,5,relu,11.0,tanh,12.0,leaky_relu,identity,0.07825726102759369,4.8284325134859994e-05,10,none,,,,5.0,identity,5.0,gelu,
3,0.385578711827596,3,8,tanh,5.0,tanh,7.0,sigmoid,tanh,0.06721284361170644,0.0005315865767560676,9,none,,,,,,,,
4,0.11602769295374553,4,9,leaky_relu,11.0,relu,2.0,relu,identity,0.05342959210461068,0.008523110472117885,7,cosine,,5.0,0.0,9.0,relu,,,
5,0.393535315990448,5,10,leaky_relu,9.0,elu,6.0,leaky_relu,identity,0.053030313752408555,0.0006835697056531159,7,step,0.27751244239240114,,,11.0,elu,4.0,tanh,5.0
6,0.37006614605585736,1,4,relu,,,,,gelu,0.02023110736499432,0.0002810152382407198,8,cosine,,0.0,1e-05,,,,,
7,-116.8781000773112,1,11,relu,,,,,identity,0.015678950127262642,0.005303053361689288,8,cosine,,1.0,0.0,,,,,
8,0.28395384550094604,3,2,tanh,9.0,relu,8.0,sigmoid,elu,0.12881888215201018,2.6900734052763188e-05,8,step,0.8706573566329582,,,,,,,20.0
9,-1.7869877815246582,2,7,identity,7.0,sigmoid,,,sigmoid,0.14048896542813505,1.826493905696553e-05,8,exponential,0.9530392351757337,,,,,,,
10,0.07967676719029744,2,5,sigmoid,2.0,leaky_relu,,,sigmoid,0.10391648373387907,0.0001337184969574407,10,cosine,,3.0,1e-06,,,,,
11,0.3489284912745158,5,12,gelu,5.0,elu,3.0,leaky_relu,leaky_relu,0.046198061462372014,0.0009793778872392842,6,step,0.13202801486380186,,,12.0,elu,2.0,tanh,5.0
12,0.41280559698740643,4,9,leaky_relu,7.0,gelu,10.0,identity,sigmoid,0.09953485782107184,0.00155904074696906,6,step,0.25245257675998595,,,12.0,elu,,,5.0
13,-0.023775378863016765,4,7,leaky_relu,5.0,gelu,12.0,identity,sigmoid,0.10722885143398775,0.0024862800219447034,6,step,0.4812941516350799,,,2.0,gelu,,,30.0
14,0.39504794279734295,2,9,elu,7.0,leaky_relu,,,sigmoid,0.10638345162912989,0.0018167900821107088,9,cosine,,2.0,1e-06,,,,,
15,0.3868706226348877,4,5,identity,3.0,gelu,10.0,identity,sigmoid,0.0899922572621284,0.00021660997453926167,9,step,0.4515151243968201,,,7.0,leaky_relu,,,15.0
16,0.378229280312856,2,7,gelu,6.0,gelu,,,leaky_relu,0.12110580560781878,0.0018939337670679473,7,none,,,,,,,,
17,-0.012168308099110922,3,6,sigmoid,4.0,leaky_relu,9.0,tanh,relu,0.1479856297370788,0.00014111571493464968,6,exponential,0.9816818894804409,,,,,,,
18,0.40327757596969604,4,9,leaky_relu,7.0,sigmoid,10.0,gelu,tanh,0.12013834812239853,0.00397240996830416,10,step,0.2601884591744594,,,9.0,tanh,,,15.0
19,0.3537038564682007,1,3,relu,,,,,elu,0.08808927947572236,0.0004614581958591006,9,cosine,,3.0,0.001,,,,,
20,0.3718104163805644,3,11,relu,8.0,identity,4.0,elu,gelu,0.09519947884821103,0.001165085862788927,7,step,0.6630132769049046,,,,,,,5.0
21,0.39582465092341107,4,9,leaky_relu,7.0,sigmoid,10.0,gelu,tanh,0.12033410712469328,0.003763087610921332,10,step,0.27957570356107153,,,9.0,tanh,,,15.0
22,-0.0035922924677530923,4,8,leaky_relu,6.0,sigmoid,10.0,gelu,tanh,0.11878174721282114,0.008688234632061944,10,step,0.10191017772172711,,,10.0,sigmoid,,,20.0
23,-0.0035298665364583335,4,10,leaky_relu,8.0,sigmoid,11.0,gelu,tanh,0.1322209315849199,0.0039549035969554235,10,step,0.3109598869174996,,,7.0,tanh,,,10.0
24,0.40324846903483075,5,8,leaky_relu,6.0,gelu,8.0,identity,sigmoid,0.14856059885111683,0.001369095156148843,9,step,0.38200975347873,,,12.0,elu,12.0,sigmoid,30.0
25,0.4007089138031006,2,6,leaky_relu,8.0,leaky_relu,,,sigmoid,0.11026943381334205,1.0414633331518181e-05,10,cosine,,0.0,0.0001,,,,,
26,0.40671730041503906,4,10,tanh,10.0,leaky_relu,9.0,tanh,tanh,0.07611691995698057,7.37088015298579e-05,9,none,,,,9.0,tanh,,,
27,0.4123643438021342,3,12,tanh,10.0,leaky_relu,8.0,tanh,sigmoid,0.07036252995061044,7.492387921133136e-05,9,none,,,,,,,,
28,0.39898014068603516,3,12,tanh,10.0,leaky_relu,5.0,tanh,sigmoid,0.03363359566583752,4.659176256015073e-05,9,none,,,,,,,,
29,0.4244169592857361,3,11,elu,12.0,leaky_relu,8.0,elu,relu,0.06366508952697246,0.00015303368904982296,6,exponential,0.8538484460428093,,,,,,,
30,0.4199671745300293,2,11,elu,12.0,gelu,,,relu,0.006773406305009319,0.0001640280671850625,6,exponential,0.916061859055616,,,,,,,
31,0.40848684310913086,2,11,elu,12.0,gelu,,,relu,0.0018852533974400417,0.00018838201247128915,6,exponential,0.9167870241153274,,,,,,,
32,0.42679452896118164,2,11,elu,12.0,gelu,,,relu,0.037359011077842036,8.997679045343145e-05,6,exponential,0.9203329444877727,,,,,,,
33,0.41795283555984497,1,11,elu,,,,,relu,0.035485197493083466,9.211860257195013e-05,6,exponential,0.9170848682357016,,,,,,,
34,0.418905774752299,1,11,elu,,,,,relu,0.03204397751180382,8.487767335088554e-05,6,exponential,0.9135730853962725,,,,,,,
35,0.35148972272872925,1,10,elu,,,,,relu,0.008306335021167927,5.0964095603403376e-05,7,exponential,0.9013537611964614,,,,,,,
36,0.4199040134747823,2,12,elu,12.0,identity,,,relu,0.029615937055015557,0.000348569988297431,6,exponential,0.9377551131752826,,,,,,,
37,0.42901913324991864,2,12,elu,12.0,identity,,,relu,0.06048676775040233,0.00046499716937073703,7,exponential,0.9421378320450241,,,,,,,
38,0.43153637647628784,2,12,elu,12.0,identity,,,relu,0.06125457636682468,0.0003052865253562083,7,exponential,0.876923945298926,,,,,,,
39,0.3874442974726359,3,12,elu,11.0,identity,5.0,elu,relu,0.058578205915950726,0.0007953729987168646,7,exponential,0.8687971362896604,,,,,,,
40,0.42623186111450195,2,12,elu,11.0,identity,,,relu,0.0632695045940139,0.0002789111166298407,7,exponential,0.8727188264456841,,,,,,,
41,0.4176573157310486,2,12,elu,11.0,identity,,,relu,0.06389549347221507,0.0005215978248030766,7,exponential,0.8766438248754596,,,,,,,
42,0.4331338206926982,2,11,elu,12.0,identity,,,relu,0.044700322530889,0.00029402824374185016,7,exponential,0.8549125696231262,,,,,,,
43,0.4269908865292867,2,12,elu,11.0,identity,,,relu,0.046223445300996376,0.00030216325377154895,7,exponential,0.8884282159455453,,,,,,,
44,0.4315345883369446,2,10,elu,12.0,identity,,,relu,0.04507701969923643,0.00038053952543622437,8,exponential,0.8929745451156013,,,,,,,
45,0.36527419090270996,2,10,elu,11.0,identity,,,identity,0.045175295055269675,0.0004032365913130925,8,exponential,0.8884816003830178,,,,,,,
46,0.40611277023951214,1,12,identity,,,,,gelu,0.0527048761365071,0.0002631198785634187,8,exponential,0.8499030839576583,,,,,,,
47,0.4162077307701111,2,10,elu,10.0,identity,,,relu,0.022531746226217043,0.0006580727440613058,7,exponential,0.8903555691066116,,,,,,,
48,0.11890685558319092,1,11,sigmoid,,,,,elu,0.04473374091897858,0.0007958435983541955,7,exponential,0.8977641679713795,,,,,,,
49,0.41096659501393634,2,12,gelu,12.0,identity,,,leaky_relu,0.0821125842520776,0.00023038944074634584,8,exponential,0.8597728446521374,,,,,,,
50,0.42784959077835083,2,11,elu,11.0,tanh,,,relu,0.05145134487559995,0.00035893680079958525,7,exponential,0.837462713893051,,,,,,,
51,0.42907992998758954,2,11,elu,11.0,tanh,,,relu,0.05253984755894334,0.00035127227437678,7,exponential,0.8352132060025609,,,,,,,
52,0.43818871180216473,2,11,elu,12.0,tanh,,,relu,0.055225968483792215,0.0006053060602080437,7,exponential,0.8378157002835676,,,,,,,
53,0.4241183400154114,2,10,elu,12.0,tanh,,,relu,0.07113769342865306,0.000520151858503779,8,exponential,0.8390392540505467,,,,,,,
54,-3.2826878825823465,3,11,elu,12.0,tanh,2.0,relu,relu,0.05810572907140166,0.0006371856060966981,7,exponential,0.8382629027987678,,,,,,,
55,0.374869445959727,2,9,elu,12.0,tanh,,,identity,0.04158308778150957,0.0009611479096808218,7,exponential,0.826496211801717,,,,,,,
56,0.4268476565678914,2,10,identity,10.0,elu,,,relu,0.057704627893694016,0.0004556221418289926,8,exponential,0.8265326112484506,,,,,,,
57,0.39507341384887695,1,8,gelu,,,,,gelu,0.06985891213877755,0.00011205773918490002,7,exponential,0.9689313928743232,,,,,,,
58,0.06383323669433594,3,11,sigmoid,11.0,relu,3.0,sigmoid,elu,0.050397379126701426,0.00021254221739562814,7,exponential,0.864874497668118,,,,,,,
59,0.3994491696357727,2,10,relu,12.0,tanh,,,leaky_relu,0.025550087880546118,0.001044104751706025,7,exponential,0.8494959218901027,,,,,,,
60,0.32863670587539673,2,2,elu,9.0,identity,,,relu,0.08389120832857168,0.00038855153129234237,8,cosine,,5.0,0.0001,,,,,
61,0.4274194637934367,2,11,elu,11.0,tanh,,,relu,0.049495176635959155,0.0003406754046051803,7,exponential,0.8365354396548557,,,,,,,
62,0.3989090124766032,2,12,elu,11.0,tanh,,,relu,0.03895040900206194,0.0005941079399642453,7,exponential,0.8233740894145007,,,,,,,
63,0.41498424609502155,2,11,elu,12.0,tanh,,,relu,0.05641349143141002,0.0008288655180948711,7,exponential,0.8804036769280831,,,,,,,
64,0.37498195966084796,2,9,elu,11.0,tanh,,,relu,0.053819551611778954,0.0004162065184116191,7,none,,,,,,,,
65,0.42108990748723346,2,12,elu,12.0,identity,,,relu,0.06298160516250827,0.00024264397034856272,7,exponential,0.8188689304675401,,,,,,,
66,0.4105612436930339,1,10,elu,,,,,relu,0.07820294607907041,0.0003036027154091077,7,exponential,0.8423566719239145,,,,,,,
67,0.3802183270454407,3,11,elu,10.0,relu,4.0,leaky_relu,relu,0.04219343891536666,0.0013915677511563637,8,cosine,,4.0,0.001,,,,,
68,0.3941124677658081,2,11,relu,11.0,elu,,,identity,0.049696935129038895,0.00018786826381458468,7,exponential,0.8584778640554165,,,,,,,
69,0.3055533766746521,3,12,tanh,9.0,tanh,6.0,sigmoid,relu,0.06854914815589971,0.0004493821884058473,7,exponential,0.8126669127468551,,,,,,,
70,0.40172092119852704,2,10,identity,12.0,identity,,,relu,0.07313323166625875,0.00018171473015290594,8,none,,,,,,,,
71,0.42684535185496014,2,11,elu,11.0,tanh,,,relu,0.04883192637727769,0.0003440014957093516,7,exponential,0.8342913459845455,,,,,,,
72,0.42836304505666095,2,11,elu,11.0,tanh,,,relu,0.061546292353104735,0.00033933320622632593,7,exponential,0.8464523606202674,,,,,,,
73,0.4057767391204834,2,11,elu,10.0,tanh,,,relu,0.06572588365159068,0.0005665382841500851,7,exponential,0.8462213572598624,,,,,,,
74,0.4334940512975057,2,12,elu,12.0,tanh,,,relu,0.06084993485575868,0.0002563567844701813,7,exponential,0.8564991643729047,,,,,,,
75,0.3946344256401062,2,12,elu,12.0,identity,,,gelu,0.060401369332285314,0.00013049421801758417,7,exponential,0.8600963819192649,,,,,,,
76,0.17726057767868042,1,12,sigmoid,,,,,leaky_relu,0.054750343575620815,0.0002773396434268636,6,exponential,0.8807540350035576,,,,,,,
77,0.37345053752263385,2,12,elu,12.0,tanh,,,elu,0.07498807317271278,0.0005004294445004913,8,exponential,0.8527244558480723,,,,,,,
78,0.3661821683247884,2,12,gelu,12.0,identity,,,tanh,0.061094990921677236,0.0007340693968785803,7,exponential,0.9403435247960084,,,,,,,
79,0.3819741408030192,2,10,elu,12.0,tanh,,,relu,0.040155945790270244,0.00021673171310444462,6,cosine,,4.0,1e-05,,,,,
80,0.3650280435880025,3,5,elu,11.0,identity,5.0,relu,relu,0.028169955014474057,0.00014679152963298044,7,exponential,0.9074426105456982,,,,,,,
81,0.3547602693239848,2,11,elu,2.0,tanh,,,relu,0.06698049076099968,0.0003732992709956088,7,exponential,0.8339578523042014,,,,,,,
82,0.42885955174763996,2,11,elu,11.0,tanh,,,relu,0.053634955838717996,0.0003180001585599622,7,exponential,0.8662781999618142,,,,,,,
83,0.42481060822804767,2,12,elu,11.0,tanh,,,relu,0.045745597250374886,0.0002558626510786402,7,exponential,0.8635740938342786,,,,,,,
84,0.29868332544962567,2,11,elu,12.0,sigmoid,,,relu,0.053793563527827014,0.0004372780790854902,7,exponential,0.8704872470290305,,,,,,,
85,0.4341164032618205,2,11,elu,10.0,relu,,,relu,0.057519723498193155,0.0003265208909157039,7,exponential,0.8547997746635515,,,,,,,
86,0.3913816014925639,2,12,elu,10.0,relu,,,relu,0.03644882642572363,0.00010692421850593082,7,step,0.7757833000116069,,,,,,,25.0
87,0.4114079475402832,1,11,tanh,,,,,relu,0.057342447535676445,0.00016741381421199667,7,exponential,0.875908817091834,,,,,,,
88,0.44075797001520794,2,12,elu,12.0,relu,,,relu,0.04336765327473698,0.0002085592898996144,8,exponential,0.8551607893504968,,,,,,,
89,0.40820733706156415,3,12,elu,12.0,relu,7.0,elu,relu,0.032344038460892566,0.0002066630654661687,8,none,,,,,,,,
90,0.39532530307769775,2,12,elu,12.0,relu,,,identity,0.04729576987589673,0.0006683490408027739,8,exponential,0.8556038966478268,,,,,,,
91,0.4331502318382263,2,12,elu,12.0,relu,,,relu,0.04353389304914768,0.00028905005695820866,8,exponential,0.8671710857783583,,,,,,,
92,0.4276580214500427,2,12,elu,12.0,relu,,,relu,0.04256636139933008,0.0002570395933635791,8,exponential,0.8836137294163242,,,,,,,
93,0.4368612964948018,2,12,elu,12.0,relu,,,relu,0.04366746272799677,0.00029554990778028246,8,exponential,0.8546687633136799,,,,,,,
94,0.42482022444407147,2,12,relu,12.0,relu,,,relu,0.0351987072274468,0.0003021785883793808,8,exponential,0.8441932745017166,,,,,,,
95,0.41666783889134723,2,12,leaky_relu,12.0,relu,,,tanh,0.04316664241323546,0.0001980752167432568,8,exponential,0.8532833940279388,,,,,,,
96,0.43165584405263263,2,11,elu,11.0,relu,,,relu,0.03930357310079776,0.00011766121165122223,9,exponential,0.8723412924366557,,,,,,,
97,0.3015329639116923,2,7,identity,12.0,relu,,,sigmoid,0.02201728513481038,0.00012507699537444122,9,exponential,0.8698243497323833,,,,,,,
98,0.4297360380490621,2,12,elu,12.0,relu,,,relu,0.0392585017183769,5.3706464611968666e-05,9,exponential,0.8945264716645727,,,,,,,
99,0.3934275110562642,1,11,elu,,,,,gelu,0.030017679586718193,0.00015919343141482885,9,exponential,0.8746443850009636,,,,,,,
