number,R²,num_layers,log2_layer_0,activation_1,log2_layer_1,activation_2,log2_layer_2,activation_3,final_activation,dropout,lr,epochs,scheduler,log2_layer_3,activation_4,schel_step_size,schel_gamma,log2_layer_4,activation_5,schel_t_max_mod,shchel_eta_min
0,0.6608127951622009,3,7,relu,8.0,sigmoid,3.0,leaky_relu,gelu,0.058639746685607286,9.961752285936346e-05,9,none,,,,,,,,
1,0.5248817404111227,1,10,sigmoid,,,,,leaky_relu,0.11216949937931668,0.0026309418637753498,7,none,,,,,,,,
2,0.6546249787012736,4,10,tanh,12.0,leaky_relu,11.0,gelu,sigmoid,0.006867249865074121,5.449317534284685e-05,8,step,9.0,identity,25.0,0.7033700602505476,,,,
3,-0.23992802699406943,5,9,gelu,10.0,gelu,11.0,elu,tanh,0.052257234355417244,1.2350028534272359e-05,7,step,7.0,elu,20.0,0.7385427344525523,4.0,identity,,
4,0.5702508091926575,1,5,identity,,,,,identity,0.11937181673556425,0.004948595119992427,8,none,,,,,,,,
5,-6.802136421203613,5,9,tanh,3.0,relu,2.0,leaky_relu,gelu,0.07616323923282983,2.7326900731339737e-05,8,step,5.0,sigmoid,10.0,0.15697262101229834,8.0,leaky_relu,,
6,0.3449247479438782,4,4,elu,5.0,elu,2.0,elu,sigmoid,0.006490652251968437,9.410986854398141e-05,6,none,12.0,tanh,,,,,,
7,0.6750253438949585,2,7,leaky_relu,8.0,tanh,,,gelu,0.008549222647926746,4.2920961363915134e-05,8,cosine,,,,,,,1.0,0.001
8,-0.014586726824442545,1,3,leaky_relu,,,,,tanh,0.12872456427914358,0.005663632732733667,6,none,,,,,,,,
9,0.255118469397227,4,11,gelu,3.0,leaky_relu,8.0,relu,leaky_relu,0.09056114223820334,0.0033617953974894115,10,cosine,11.0,tanh,,,,,5.0,0.0001
10,0.7035855650901794,2,6,leaky_relu,7.0,tanh,,,relu,0.034293253484747335,0.0004228964834566072,10,cosine,,,,,,,0.0,0.001
11,0.6995339194933573,2,6,leaky_relu,7.0,tanh,,,relu,0.02975017547263226,0.0005721533610136648,10,cosine,,,,,,,0.0,0.001
12,0.6583675940831503,2,6,leaky_relu,6.0,tanh,,,relu,0.045267652447922684,0.0006123023802243745,10,exponential,,,,0.9788541188219746,,,,
13,0.6221926013628641,2,2,leaky_relu,7.0,identity,,,relu,0.030855228491608332,0.0005304566886661172,10,cosine,,,,,,,0.0,0.001
14,0.697655975818634,3,6,leaky_relu,10.0,tanh,7.0,tanh,elu,0.029874612994259805,0.0012886693546885473,9,cosine,,,,,,,0.0,1e-05
15,0.4043398102124532,2,5,sigmoid,5.0,tanh,,,relu,0.027472518436891667,0.00026021169395849857,9,cosine,,,,,,,2.0,0.0
16,0.662743866443634,3,8,identity,9.0,tanh,6.0,identity,relu,0.06869742097263348,0.00023769885112143933,10,exponential,,,,0.9840495839141815,,,,
17,0.6200875639915466,2,12,relu,5.0,identity,,,relu,0.14940550464315033,0.000929642999917313,9,cosine,,,,,,,3.0,1e-06
18,0.6140614151954651,1,4,elu,,,,,elu,0.040162543099397444,0.001598827668468521,10,cosine,,,,,,,0.0,0.001
19,0.6500815749168396,2,6,leaky_relu,7.0,relu,,,identity,0.08699236794197102,0.00013922503757987065,9,cosine,,,,,,,2.0,0.001
20,-6.41148026784261,3,8,leaky_relu,2.0,sigmoid,5.0,sigmoid,relu,0.021481661192698842,0.0004931147835730412,10,exponential,,,,0.9073068945280024,,,,
21,0.6960212190945944,3,6,leaky_relu,11.0,tanh,8.0,tanh,elu,0.02612525129263235,0.0015375917319071714,9,cosine,,,,,,,0.0,1e-05
22,0.6559357245763143,3,5,leaky_relu,9.0,tanh,9.0,tanh,elu,0.03957593722029504,0.0009994542933494653,9,cosine,,,,,,,1.0,1e-05
23,0.67451939980189,2,7,leaky_relu,9.0,tanh,,,elu,0.016268960418510447,0.00036840252163232706,10,cosine,,,,,,,0.0,1e-05
24,-0.6851626833279928,4,4,leaky_relu,6.0,gelu,5.0,tanh,relu,0.06388709941513605,0.001048007492940808,9,cosine,2.0,gelu,,,,,1.0,0.001
25,0.6526850859324137,3,8,leaky_relu,11.0,elu,10.0,identity,elu,0.05014532326684057,0.00839364676461979,10,cosine,,,,,,,1.0,0.0
26,0.6817186872164408,2,6,gelu,8.0,tanh,,,relu,0.03504649600904365,0.00019583451539728936,9,cosine,,,,,,,4.0,1e-06
27,0.648493766784668,1,3,elu,,,,,sigmoid,0.01573275628161505,0.0023274413751122277,10,cosine,,,,,,,0.0,0.0001
28,0.0742145578066508,3,5,relu,6.0,tanh,7.0,relu,tanh,0.00240429902100733,0.0007258501694978499,9,exponential,,,,0.894834683781904,,,,
29,0.3546579082806905,2,7,tanh,10.0,tanh,,,leaky_relu,0.05846898615720257,0.0003787030034322971,10,step,,,5.0,0.2607711717295982,,,,
30,0.48625340064366657,3,7,sigmoid,7.0,tanh,12.0,sigmoid,identity,0.05423914668932025,0.00015096051837279852,9,cosine,,,,,,,1.0,1e-05
31,0.6763716141382853,3,6,leaky_relu,12.0,tanh,8.0,tanh,elu,0.02436609656737931,0.0017058602874138427,9,cosine,,,,,,,0.0,1e-05
32,0.6996667385101318,3,6,leaky_relu,11.0,tanh,7.0,tanh,elu,0.03258683632606907,0.0014056793352960762,7,cosine,,,,,,,0.0,1e-05
33,0.7139837543169657,4,5,leaky_relu,11.0,tanh,4.0,tanh,elu,0.0406053757715946,0.0032981049429870344,7,cosine,2.0,leaky_relu,,,,,0.0,0.001
34,0.6977094014485677,4,5,relu,11.0,identity,4.0,gelu,elu,0.04358690388694146,0.0031579810171604114,7,cosine,2.0,leaky_relu,,,,,1.0,0.001
35,0.5913025935490926,5,4,identity,8.0,sigmoid,4.0,tanh,gelu,0.013560965133474573,0.0023186150777745823,7,step,5.0,relu,30.0,0.4135009463495364,11.0,sigmoid,,
36,0.4918474356333415,4,9,leaky_relu,9.0,relu,6.0,tanh,elu,0.08367563270415904,0.004970819497990779,7,none,4.0,leaky_relu,,,,,,
37,-0.002400179704030355,4,8,tanh,12.0,leaky_relu,4.0,tanh,sigmoid,0.10361896691849418,0.009555926190375959,6,cosine,8.0,leaky_relu,,,,,0.0,0.001
38,0.04396424690882365,5,3,sigmoid,10.0,gelu,6.0,elu,leaky_relu,0.06882765812769943,0.0007334686852736917,8,step,4.0,relu,15.0,0.4797871730223152,3.0,relu,,
39,0.6148427923520406,1,5,leaky_relu,,,,,relu,0.0513362442595714,7.145079985959204e-05,8,none,,,,,,,,
40,0.16117680072784424,5,7,gelu,11.0,elu,3.0,identity,tanh,0.03714135281904401,0.0037285472883300036,6,cosine,7.0,gelu,,,12.0,gelu,2.0,0.001
41,0.6283250451087952,4,5,relu,11.0,identity,4.0,gelu,elu,0.0428903832906258,0.0026507608750194374,7,cosine,2.0,leaky_relu,,,,,1.0,0.001
42,0.41709421078364056,4,5,relu,12.0,identity,5.0,gelu,elu,0.04511971846879191,0.006536625461805881,7,cosine,2.0,leaky_relu,,,,,0.0,0.001
43,0.6225149830182394,4,6,relu,8.0,identity,3.0,gelu,elu,0.019678464000248995,0.0035697610720241716,7,cosine,4.0,leaky_relu,,,,,1.0,0.001
44,0.6595404346783956,4,4,relu,10.0,tanh,5.0,gelu,elu,0.03476773202684255,0.00045330064900918305,7,cosine,3.0,identity,,,,,0.0,0.001
45,0.6569451689720154,5,6,leaky_relu,11.0,leaky_relu,9.0,sigmoid,gelu,0.0591878673799514,0.002441241470451974,7,none,6.0,elu,,,7.0,elu,,
46,0.6588931679725647,2,4,identity,6.0,sigmoid,,,identity,0.007484055260013101,0.0012269213032222082,8,cosine,,,,,,,0.0,0.001
47,0.6154995958010355,1,5,leaky_relu,,,,,relu,0.03241288462497707,0.0036833696403738756,6,exponential,,,,0.9314902850720932,,,,
48,-0.28071339925130206,3,7,elu,4.0,identity,3.0,leaky_relu,sigmoid,0.04839756814775776,0.0019364073580871743,7,cosine,,,,,,,1.0,0.001
49,-6.242664178212483,4,3,tanh,7.0,tanh,2.0,relu,relu,0.029013021960631605,0.0007380558275766025,6,step,3.0,sigmoid,5.0,0.6351804230650439,,,,
